"clubsize","club","clubindex","Brazil","China","EU","India","Japan","ROW","US","shock","country","welfare","importer","cgroup","rawshock"
1,1,"1:1",1,0,0,0,0,0,0,1,1,1.00850261235775,"Brazil","1.1",0.25
1,1,"1:1",1,0,0,0,0,0,0,2,7,0.999607114980914,"US","7.1",0.26
1,1,"1:1",1,0,0,0,0,0,0,38,7,0.999255309113277,"US","7.1",0.62
1,1,"1:1",1,0,0,0,0,0,0,9,3,0.9993546855207,"EU","3.1",0.33
1,1,"1:1",1,0,0,0,0,0,0,1,2,0.999785130754859,"China","2.1",0.25
1,1,"1:1",1,0,0,0,0,0,0,1,6,0.999086803638425,"ROW","6.1",0.25
1,1,"1:1",1,0,0,0,0,0,0,1,7,0.999619501280199,"US","7.1",0.25
1,1,"1:1",1,0,0,0,0,0,0,1,4,0.999869678305722,"India","4.1",0.25
1,1,"1:1",1,0,0,0,0,0,0,3,3,0.999447926401665,"EU","3.1",0.27
1,1,"1:1",1,0,0,0,0,0,0,36,2,0.999594216537396,"China","2.1",0.6
1,1,"1:1",1,0,0,0,0,0,0,2,1,1.00864802797051,"Brazil","1.1",0.26
1,1,"1:1",1,0,0,0,0,0,0,38,3,0.999000084870753,"EU","3.1",0.62
1,1,"1:1",1,0,0,0,0,0,0,38,2,0.999585761622291,"China","2.1",0.62
1,1,"1:1",1,0,0,0,0,0,0,23,1,1.00979590666273,"Brazil","1.1",0.47
1,1,"1:1",1,0,0,0,0,0,0,10,1,1.00946792305333,"Brazil","1.1",0.34
1,1,"1:1",1,0,0,0,0,0,0,32,5,0.999740697153773,"Japan","5.1",0.56
1,1,"1:1",1,0,0,0,0,0,0,27,6,0.998444442651437,"ROW","6.1",0.51
1,1,"1:1",1,0,0,0,0,0,0,25,6,0.998486163487538,"ROW","6.1",0.49
1,1,"1:1",1,0,0,0,0,0,0,38,4,0.999752484197992,"India","4.1",0.62
1,1,"1:1",1,0,0,0,0,0,0,33,7,0.999295275888753,"US","7.1",0.57
1,1,"1:1",1,0,0,0,0,0,0,25,5,0.99976230629847,"Japan","5.1",0.49
1,1,"1:1",1,0,0,0,0,0,0,6,5,0.999832980952847,"Japan","5.1",0.3
1,1,"1:1",1,0,0,0,0,0,0,8,1,1.00931542176194,"Brazil","1.1",0.32
1,1,"1:1",1,0,0,0,0,0,0,30,1,1.00960622423328,"Brazil","1.1",0.54
1,1,"1:1",1,0,0,0,0,0,0,36,3,0.999020444201914,"EU","3.1",0.6
1,1,"1:1",1,0,0,0,0,0,0,34,1,1.00941239660758,"Brazil","1.1",0.58
