"rawshock","country","Weights","InWelfare","ElseWelfare","WorldWelfare"
0.25,"Brazil","0.0279","1.00850261235775","0.997867073057185","0.998163804603671"
0.25,"China","0.154","1.010320121637","0.995346841093265","0.996359824402896"
0.25,"EU","0.121","1.01331391259379","0.993687337420226","1.0002144134231"
0.25,"India","0.0583","1.00528042692808","0.996372940119902","0.997486337965124"
0.25,"Japan","0.054","1.01143368004768","0.996745351524001","0.99753852126428"
0.25,"ROW","0.3917","1.01856318380609","0.99095158053417","0.995959265100811"
0.25,"US","0.1931","1.01655288743492","0.997840276258779","0.995366472368368"
0.26,"Brazil","0.0279","1.00864802797051","0.996904772249289","0.99706455065648"
0.26,"China","0.154","1.01050482320318","0.998320940182016","1.00026868712983"
0.26,"EU","0.121","1.01358457445766","0.997088827277889","0.999919211319147"
0.26,"India","0.0583","1.0053149575748","0.996589437239711","0.99952415257008"
0.26,"Japan","0.054","1.01164749684611","0.996137067545836","1.00301128935319"
0.26,"ROW","0.3917","1.01894134617364","0.992972079670255","0.998429751735181"
0.26,"US","0.1931","1.01690298425381","0.998165450210946","0.999491550464064"
0.27,"Brazil","0.0279","1.00878307038427","0.997038809871383","0.997220068822185"
0.27,"China","0.154","1.01067918938776","0.997713993792228","0.99845971176199"
0.27,"EU","0.121","1.01384094894586","0.996153137540444","0.997140882941319"
0.27,"India","0.0583","1.00534034551454","0.996716965493285","1.00046137448175"
0.27,"Japan","0.054","1.01184805786744","0.99623740909047","0.997920569113621"
0.27,"ROW","0.3917","1.0192991914596","0.993733926289383","0.997733031233988"
0.27,"US","0.1931","1.01723595477479","0.995340918807489","0.998977460692725"
0.28,"Brazil","0.0279","1.00890811764228","0.996022888935734","0.996653327401648"
0.28,"China","0.154","1.01084007110408","0.996633875857982","0.997346932240443"
0.28,"EU","0.121","1.01408352189737","0.993165575937562","0.9947411906409"
0.28,"India","0.0583","1.0053569520959","0.99573503790079","0.996760870013294"
0.28,"Japan","0.054","1.01203581822132","0.995357194435168","0.995993554732787"
0.28,"ROW","0.3917","1.01963737567317","0.991205772744088","0.996195806021626"
0.28,"US","0.1931","1.01755366258376","0.992766292710815","0.99755273383328"
0.29,"Brazil","0.0279","1.00902353331024","0.996672137268807","0.996884885066392"
0.29,"China","0.154","1.01098953308554","0.995468200934875","0.996551573271093"
0.29,"EU","0.121","1.01431276117789","0.995208866803125","0.995733214545947"
0.29,"India","0.0583","1.00536512437006","0.993906940432747","0.994574952556293"
0.29,"Japan","0.054","1.01221121625722","0.996863416018792","0.998738807301286"
0.29,"ROW","0.3917","1.01995653229189","0.993924289434436","0.997847359202082"
0.29,"US","0.1931","1.01785432888467","0.992400366634879","1.00348463818926"
0.3,"Brazil","0.0279","1.00912966707963","0.995311124899088","0.997514856434024"
0.3,"China","0.154","1.0111279764503","0.996214954360439","0.998511559762278"
0.3,"EU","0.121","1.01452911743084","0.992793250753541","0.995423290621495"
0.3,"India","0.0583","1.00536519569938","0.9974013836846","0.998548638466471"
0.3,"Japan","0.054","1.01237467425442","0.996955656127365","0.999632967209237"
0.3,"ROW","0.3917","1.02025727306811","0.991481038105915","1.00275268934061"
0.3,"US","0.1931","1.01813955723518","0.996301686553987","1.00051857938253"
0.31,"Brazil","0.0279","1.00922685534555","0.996465513920128","0.997680663721908"
0.31,"China","0.154","1.01125578728757","0.995694182404254","0.999009561980398"
0.31,"EU","0.121","1.01473302478218","0.995416877642919","0.997754131446769"
0.31,"India","0.0583","1.00535748637855","0.996921263347857","0.997313010650027"
0.31,"Japan","0.054","1.01252659907884","0.99774507087944","0.999717853968735"
0.31,"ROW","0.3917","1.02054018890098","0.99233461235262","0.993501421782203"
0.31,"US","0.1931","1.01840986098659","0.996231163102657","1.00051386966404"
0.32,"Brazil","0.0279","1.00931542176194","0.996630158059151","0.997945013115508"
0.32,"China","0.154","1.01137333727795","0.996775867067098","0.999023877479569"
0.32,"EU","0.121","1.01492490152511","0.99619932770428","0.998978445426202"
0.32,"India","0.0583","1.00534230414556","0.998133445459262","0.99930143654583"
0.32,"Japan","0.054","1.01266738281327","0.997558532274388","0.998442901539565"
0.32,"ROW","0.3917","1.0208058505791","0.992464829091972","0.998543666937805"
0.32,"US","0.1931","1.01866573489497","0.99534841337805","0.999850988162967"
0.33,"Brazil","0.0279","1.00939567775933","0.997065575016726","0.99706481835944"
