"","welfare","importer","cgroup","rawshock"
"1",1.00536519569938,"India","4.4",0.3
"2",1.00980924501951,"Brazil","1.1",0.45
"3",1.01212023481225,"China","2.2",0.47
"4",1.0136757198805,"Japan","5.5",0.48
"5",1.01678772899623,"EU","3.3",0.55
"6",1.02152504890212,"US","7.7",0.59
"7",1.02323140234564,"ROW","6.6",0.53
