, Brazil , Japan , EU , Sub.Saharan.Africa , Canada , United.States , Latin.America , Rest.Of.World , Southeast.Asia , Mideast.OIL , Russian.Federation , India , South.Africa , China , Ex.USSR ,,
 EU ," 49,569,825.29 "," 69,360,070.70 "," 3,872,233,808.52 "," 62,588,388.65 "," 41,704,080.10 "," 372,312,775.07 "," 87,875,358.74 "," 529,752,678.53 "," 244,368,672.08 "," 143,452,477.64 "," 148,802,434.04 "," 56,137,381.34 "," 35,012,381.79 "," 192,067,948.86 "," 58,839,938.76 "," 5,964,078,220.11 ",
 SSA ," 11,116,491.45 "," 4,208,606.00 "," 89,335,576.95 "," 20,323,010.09 "," 7,807,984.19 "," 67,819,284.15 "," 3,478,933.28 "," 17,986,838.51 "," 18,754,447.84 "," 2,413,862.67 "," 840,860.17 "," 24,596,382.94 "," 11,160,714.74 "," 43,147,425.80 "," 884,126.28 "," 323,874,545.07 ",
 Canada ," 2,868,819.95 "," 10,776,245.27 "," 40,348,387.78 "," 1,187,157.81 ", -   ," 331,755,015.92 "," 10,346,816.41 "," 12,086,651.78 "," 15,516,837.23 "," 3,152,455.29 "," 1,511,604.61 "," 2,654,520.70 "," 689,751.08 "," 16,984,615.85 "," 403,132.62 "," 450,282,012.29 ",
 US ," 42,943,393.78 "," 66,160,368.82 "," 269,647,836.02 "," 13,292,878.91 "," 280,710,218.03 ", -   ," 308,093,805.11 "," 106,157,248.60 "," 205,464,128.94 "," 39,766,726.74 "," 8,285,464.76 "," 21,627,593.87 "," 7,293,975.55 "," 103,878,414.12 "," 4,497,868.28 "," 1,477,819,921.52 ",
 LatAm ," 37,756,512.50 "," 16,696,237.43 "," 84,012,204.24 "," 2,426,616.83 "," 22,987,823.95 "," 393,176,496.21 "," 111,528,726.66 "," 29,151,686.45 "," 38,671,758.21 "," 5,904,608.13 "," 3,623,262.59 "," 11,997,714.90 "," 1,652,305.31 "," 55,162,392.78 "," 1,460,431.34 "," 816,208,777.51 ",
 ROW ," 9,596,107.66 "," 62,481,337.01 "," 468,155,260.43 "," 16,773,462.26 "," 12,614,229.11 "," 109,747,518.13 "," 14,383,994.99 "," 83,474,529.83 "," 157,963,863.17 "," 69,219,908.22 "," 16,003,262.67 "," 38,381,015.12 "," 6,644,650.01 "," 83,082,289.06 "," 13,050,670.14 "," 1,161,572,097.81 ",
 SEAsia ," 23,221,401.44 "," 218,630,478.31 "," 264,799,265.46 "," 25,071,248.01 "," 18,107,986.33 "," 235,514,193.02 "," 60,615,395.51 "," 222,143,641.05 "," 713,262,187.73 "," 64,592,584.75 "," 18,589,165.99 "," 76,287,594.78 "," 13,057,520.33 "," 660,431,785.91 "," 6,676,551.54 "," 2,621,001,000.14 ",
 Mideast ," 8,860,466.73 "," 153,880,923.14 "," 160,782,317.92 "," 11,091,572.71 "," 11,354,844.24 "," 92,563,230.80 "," 2,531,725.07 "," 104,660,269.02 "," 312,268,189.81 "," 56,572,438.14 "," 718,531.10 "," 125,139,013.10 "," 9,839,124.85 "," 110,120,837.39 "," 2,910,220.23 "," 1,163,293,704.24 ",
 Russia ," 2,102,530.02 "," 14,234,690.26 "," 230,540,421.60 "," 1,411,062.78 "," 536,750.67 "," 15,626,334.64 "," 4,385,771.18 "," 40,953,980.55 "," 23,084,758.21 "," 7,044,648.09 ", -   ," 4,665,703.62 "," 114,617.11 "," 34,692,362.00 "," 65,026,553.46 "," 444,420,184.18 ",
 India ," 5,391,310.11 "," 5,592,607.80 "," 54,732,558.32 "," 12,923,624.83 "," 1,876,570.15 "," 32,919,043.49 "," 5,140,524.33 "," 41,724,185.77 "," 49,480,148.45 "," 48,590,411.15 "," 1,893,901.20 ", -   ," 4,319,584.13 "," 16,717,786.26 "," 1,259,705.43 "," 282,561,961.40 ",
 Safrica ," 741,020.56 "," 6,726,552.91 "," 20,348,049.18 "," 15,283,548.90 "," 603,327.27 "," 7,534,569.59 "," 911,669.21 "," 6,629,810.18 "," 7,856,646.87 "," 1,661,374.81 "," 296,983.89 "," 5,299,589.77 ", -   ," 18,564,307.81 "," 107,795.25 "," 92,565,246.18 ",
 China ," 31,836,677.33 "," 148,268,708.07 "," 357,765,584.75 "," 38,453,069.62 "," 25,266,589.99 "," 325,010,987.55 "," 86,470,429.71 "," 129,219,571.57 "," 556,157,568.66 "," 68,768,638.56 "," 38,903,017.97 "," 50,536,415.93 "," 13,362,300.05 ", -   ," 28,226,818.26 "," 1,898,246,378.02 ",
 Eurasia ," 1,751,838.70 "," 1,333,132.27 "," 101,764,158.94 "," 1,174,963.68 "," 3,226,942.09 "," 5,431,046.97 "," 1,255,321.11 "," 32,025,710.95 "," 4,511,612.63 "," 6,443,312.26 "," 46,731,200.11 "," 3,313,068.78 "," 108,732.55 "," 28,668,311.20 "," 26,859,121.74 "," 264,598,473.97 ",
," 233,963,132.07 "," 787,823,053.52 "," 6,163,619,247.11 "," 232,975,304.50 "," 438,835,613.98 "," 2,143,028,112.87 "," 783,117,675.77 "," 1,424,692,395.05 "," 2,649,235,351.15 "," 547,208,514.47 "," 302,229,370.05 "," 434,914,545.87 "," 109,252,986.43 "," 1,569,868,458.29 "," 213,018,861.42 "," 18,033,782,622.55 ",
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,#DIV/0!, -   , -   , -   , -   , -   , -   , (0.20), -   , 0.36 , -   , -   , -   , -   , -   , (1.00),#DIV/0!
, -   ,#DIV/0!, -   , -   , -   , -   , -   , (0.04), -   , 0.09 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.11), -   , 0.39 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.07), -   , 0.55 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   ,#DIV/0!, -   , -   , (0.09), -   , 0.36 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   ,#DIV/0!, -   , (0.09), -   , 0.24 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.10), -   , 0.51 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, (0.16), (0.01), (0.08), (0.14), (0.03), (0.03), (0.05), (0.22), (0.01), 0.05 , (0.05), (0.10), (0.08), (0.02), (0.02), -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.04), -   , 0.13 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, 0.18 , 0.01 , 0.23 , 0.21 , 0.03 , 0.03 , 0.27 , (0.06), 0.01 , 0.38 , 1.05 , 0.03 , 0.05 , 0.01 , 0.08 , -   ,#DIV/0!
